Project Name,Package Name,Type Name,Design Smell,Resaon,Cause of the Smell,
group24,com.group24.easyHomes.controller,FavoritePropertyController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,FavoriteServiceController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,PaymentController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,PropertyAddressController,Unnecessary Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: addressRepository; service
group24,com.group24.easyHomes.controller,PropertyAddressController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,PropertyController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,RegistrationController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,ServiceController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,ServiceReviewController,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.controller,Constants,Deficient Encapsulation,This is because we follwed MVC pattern.,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: propertyID; noOfBedrooms_1; noOfBathrooms_1; propertyRent; propertyIDDoesNotExist; serviceIDDoesNotExist; paymentAmount; userId; paidForServiceID; serviceID; favoritePropertyID; markedAsFavoriteByUserID; reviewForServiceID; reviewGivenByUserID; reviewRating; reviewIDToBeDeleted,
group24,com.group24.easyHomes.controller,Constants,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: propertyID; noOfBedrooms_1; noOfBathrooms_1; propertyRent; propertyIDDoesNotExist; serviceIDDoesNotExist; paymentAmount; userId; paidForServiceID; serviceID; favoritePropertyID; markedAsFavoriteByUserID; reviewForServiceID; reviewGivenByUserID; reviewRating; reviewIDToBeDeleted,
group24,com.group24.easyHomes.dto,PropertyAddressDTO,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: address_id; location; city; province; country; postal_code,
group24,com.group24.easyHomes.dto,PropertyDTO,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: property_id; property_name; amenities; property_type; bedrooms; bathrooms; parking_included; rent; user_id; user_name; address; images,
group24,com.group24.easyHomes.dto,RegistrationRequest,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.dto,ServiceDTO,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: service_id; service_name; service_type; cost; plan; description; city; province; country; pincode; user_id; address; images,
group24,com.group24.easyHomes.dto,ServiceReviewDTO,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: review_id; user_id; review_subject; review_description; review_rating; service_id,
group24,com.group24.easyHomes,EasyHomesApplication,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.mappers,EmailConfig,Unnecessary Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: host; port; senderEmail; senderpassword
group24,com.group24.easyHomes.model,Property,Cyclically-dependent Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PropertyImages; Property,
group24,com.group24.easyHomes.model,PropertyListQuery,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: property_name; amenities; property_type; numberOfBedrooms; numberOfBathrooms; parkingIncluded; rent; city; province; country,
group24,com.group24.easyHomes.model,ServiceImages,Cyclically-dependent Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ServiceImages; Services; ServiceReview,
group24,com.group24.easyHomes.model,ServicesListQuery,Broken Modularization,This is because we follwed MVC pattern.,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: service_name; service_type; cost; plan; city; province; country,
group24,com.group24.easyHomes.repository,PropertyImagesRepository,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.repository,ServiceImagesRepository,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.resource.impl,AppUserResourceImpl,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.security.config,JwtTokenConfigurer,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.security.config,JwtTokenFilter,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.security.config,PasswordEncoder,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.security.config,SpringSecurityConfig,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.service,AddressService,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.service,ImageService,Unnecessary Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
group24,com.group24.easyHomes.service,ImageService,Unutilized Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
group24,com.group24.easyHomes.utils,ConstantUtils,Unnecessary Abstraction,This is because we follwed MVC pattern.,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
